listing_id,restaurant_id,date,item_name,original_price,discount_pct,discounted_price,quantity_listed,quantity_sold,quantity_wasted,option,posted_time,revenue_rescued,money_saved,food_rescued_pct,area_cluster,category,ward
L00001,R000,2026-06-01,Bún bò giò heo,49000,38,30000,9,3,6,delivery,18:45,90000,57000,0.333,Công nhân,Bún bò,Phường Đông Hòa
L00002,R000,2026-06-01,Bún bò thập cẩm,42000,31,29000,8,2,6,pickup,18:45,58000,26000,0.25,Công nhân,Bún bò,Phường Đông Hòa
L00003,R000,2026-06-01,Bún bò gân,35000,33,23000,10,5,5,pickup,18:00,115000,60000,0.5,Công nhân,Bún bò,Phường Đông Hòa
L00004,R001,2026-06-01,Cơm tấm sườn nướng,31000,37,20000,2,0,2,pickup,19:45,0,0,0.0,Ngoại ô,Cơm tấm,Xã Bình Chánh
L00005,R001,2026-06-01,Cơm tấm bì,29000,37,18000,2,1,1,pickup,19:00,18000,11000,0.5,Ngoại ô,Cơm tấm,Xã Bình Chánh
L00006,R001,2026-06-01,Cơm tấm đặc biệt,49000,36,31000,1,0,1,pickup,19:15,0,0,0.0,Ngoại ô,Cơm tấm,Xã Bình Chánh
L00007,R002,2026-06-01,Hủ tiếu Nam Vang,48000,34,32000,2,1,1,delivery,20:45,32000,16000,0.5,Dân cư đông,Hủ tiếu,Phường An Nhơn
L00008,R002,2026-06-01,Hủ tiếu sa tế,46000,37,29000,3,1,2,delivery,20:30,29000,17000,0.333,Dân cư đông,Hủ tiếu,Phường An Nhơn
L00009,R002,2026-06-01,Hủ tiếu mì,47000,41,28000,3,2,1,delivery,20:45,56000,38000,0.667,Dân cư đông,Hủ tiếu,Phường An Nhơn
L00010,R002,2026-06-01,Hủ tiếu bò kho,49000,40,29000,3,2,1,pickup,20:00,58000,40000,0.667,Dân cư đông,Hủ tiếu,Phường An Nhơn
L00011,R002,2026-06-01,Hủ tiếu thập cẩm,55000,41,32000,3,2,1,pickup,20:00,64000,46000,0.667,Dân cư đông,Hủ tiếu,Phường An Nhơn
L00012,R003,2026-06-01,Phở bò chín,62000,57,27000,5,3,2,delivery,18:30,81000,105000,0.6,Công nhân,Phở,Phường Bình Hòa
L00013,R003,2026-06-01,Phở bò tái nạm,52000,52,25000,7,6,1,pickup,18:15,150000,162000,0.857,Công nhân,Phở,Phường Bình Hòa
L00014,R003,2026-06-01,Phở gà,41000,56,18000,6,5,1,delivery,18:00,90000,115000,0.833,Công nhân,Phở,Phường Bình Hòa
L00015,R003,2026-06-01,Phở bò viên,45000,57,19000,5,4,1,delivery,18:15,76000,104000,0.8,Công nhân,Phở,Phường Bình Hòa
L00016,R004,2026-06-01,Hủ tiếu bò kho,52000,47,28000,1,0,1,delivery,16:15,0,0,0.0,Sinh viên,Hủ tiếu,Phường Cát Lái
L00017,R004,2026-06-01,Hủ tiếu sa tế,48000,56,21000,1,0,1,delivery,16:30,0,0,0.0,Sinh viên,Hủ tiếu,Phường Cát Lái
L00018,R004,2026-06-01,Hủ tiếu Nam Vang,47000,50,24000,1,0,1,delivery,16:00,0,0,0.0,Sinh viên,Hủ tiếu,Phường Cát Lái
L00019,R004,2026-06-01,Hủ tiếu thập cẩm,43000,53,20000,1,0,1,delivery,16:15,0,0,0.0,Sinh viên,Hủ tiếu,Phường Cát Lái
L00020,R005,2026-06-01,Hủ tiếu mì,47000,50,24000,3,2,1,pickup,10:30,48000,46000,0.667,Sinh viên,Hủ tiếu,Phường Long Bình
L00021,R005,2026-06-01,Hủ tiếu sa tế,41000,55,18000,3,2,1,pickup,10:00,36000,46000,0.667,Sinh viên,Hủ tiếu,Phường Long Bình
L00022,R005,2026-06-01,Hủ tiếu thập cẩm,50000,55,22000,3,2,1,pickup,10:00,44000,56000,0.667,Sinh viên,Hủ tiếu,Phường Long Bình
L00023,R005,2026-06-01,Hủ tiếu Nam Vang,42000,57,18000,3,2,1,pickup,10:00,36000,48000,0.667,Sinh viên,Hủ tiếu,Phường Long Bình
L00024,R006,2026-06-01,Bún bò thập cẩm,42000,43,24000,1,0,1,delivery,17:00,0,0,0.0,Trung tâm,Bún bò,Phường Nhiêu Lộc
L00025,R006,2026-06-01,Bún bò viên,44000,42,26000,1,0,1,delivery,17:00,0,0,0.0,Trung tâm,Bún bò,Phường Nhiêu Lộc
L00026,R006,2026-06-01,Bún bò giò heo,64000,46,35000,1,0,1,delivery,17:15,0,0,0.0,Trung tâm,Bún bò,Phường Nhiêu Lộc
L00027,R006,2026-06-01,Bún bò gân,38000,36,24000,1,0,1,delivery,17:15,0,0,0.0,Trung tâm,Bún bò,Phường Nhiêu Lộc
L00028,R007,2026-06-01,Phở bò tái nạm,49000,37,31000,20,11,9,pickup,09:30,341000,198000,0.55,Dân cư đông,Phở,Phường An Hội Đông
L00029,R008,2026-06-01,Hủ tiếu thập cẩm,62000,44,35000,4,2,2,delivery,16:00,70000,54000,0.5,Công nhân,Hủ tiếu,Phường Thuận An
L00030,R008,2026-06-01,Hủ tiếu sa tế,48000,41,28000,4,2,2,pickup,16:30,56000,40000,0.5,Công nhân,Hủ tiếu,Phường Thuận An
L00031,R008,2026-06-01,Hủ tiếu bò kho,54000,42,31000,5,3,2,delivery,16:00,93000,69000,0.6,Công nhân,Hủ tiếu,Phường Thuận An
L00032,R009,2026-06-01,Cơm tấm đặc biệt,31000,54,14000,4,3,1,pickup,20:15,42000,51000,0.75,Dân cư đông,Cơm tấm,Phường Tân Bình
L00033,R009,2026-06-01,Cơm tấm bì,41000,57,18000,3,2,1,pickup,20:45,36000,46000,0.667,Dân cư đông,Cơm tấm,Phường Tân Bình
L00034,R009,2026-06-01,Cơm tấm sườn bì chả,34000,52,16000,4,3,1,pickup,20:30,48000,54000,0.75,Dân cư đông,Cơm tấm,Phường Tân Bình
L00035,R010,2026-06-01,Cơm tấm sườn nướng,47000,48,24000,1,0,1,pickup,19:45,0,0,0.0,Trung tâm,Cơm tấm,Phường Đức Nhuận
L00036,R010,2026-06-01,Cơm tấm sườn trứng,32000,46,17000,1,0,1,delivery,19:45,0,0,0.0,Trung tâm,Cơm tấm,Phường Đức Nhuận
L00037,R010,2026-06-01,Cơm tấm bì,41000,42,24000,1,0,1,delivery,19:15,0,0,0.0,Trung tâm,Cơm tấm,Phường Đức Nhuận
L00038,R011,2026-06-01,Bánh mì trứng,17000,32,12000,5,1,4,delivery,20:45,12000,5000,0.2,Ngoại ô,Bánh mì,Xã Hiệp Phước
